Symbol	Company Name	Industry	Market Cap			
ADMA	ADMA Biologics	Biotechnology	642.09M			
ADMP	Adamis Pharmaceuticals	Pharmaceuticals	23.26M			
ADN	Advent Technologies Holdings	Utilities-Renewable	109.46M			
ADNT	Adient	Auto Components	3.83B			
ADOC	Edoc Acquisition	Blank Check / SPAC	26.81M			
ADP	Automatic Data Processing	IT Services	103.39B			
ADPT	Adaptive Biotechnologies	Life Sciences Tools & Services	1.34B			
ADRA	Adara Acquisition	Blank Check / SPAC	115.23M			
ADRT	Ault Disruptive Technologies	Shell Companies	145.33M			
ADSE	ADS-TEC Energy Public Limited Company	Electrical Equipment & Parts	269.91M			
ADSK	Autodesk	Software	49.39B			
ADT	ADT Inc.	Commercial Services & Supplies	7.86B			
ADTH	AdTheorent Holding Company	Advertising Agencies	185.93M			
ADTN	ADTRAN Holdings	Communications Equipment	1.52B			
ADTX	Aditx	Biotechnology	7.66M			
ADUS	Addus HomeCare	Health Care Providers & Services	1.69B			
ADV	Advantage Solutions	Advertising Agencies	875.88M			
ADVM	Adverum Biotechnologies	Biotechnology	76.00M			
ADXN	Addex Therapeutics	Biotechnology	8.49M			
AE	Adams Resources & Energy	"Oil, Gas & Consumable Fuels"	98.15M			
AEAC	Authentic Equity Acquisition	Blank Check / SPAC	230.23M			
AEAE	AltEnergy Acquisition	Blank Check / SPAC	231.27M			
AEE	Ameren	Multi-Utilities	21.54B			
AEG	Aegon	Insurance	9.65B			
AEHA	Aesther Healthcare Acquisition	Blank Check / SPAC	108.54M			
AEHL	Antelope Enterprise Holdings	Building Products & Equipment	3.06M			
AEHR	Aehr Test Systems	Semiconductors & Semiconductor Equipment	676.11M			
AEI	Alset	Real Estate-Development	24.01M			
AEIS	Advanced Energy Industries	Semiconductors & Semiconductor Equipment	3.45B			
AEL	American Equity Investment Life Holding Company	Insurance	3.12B			
AEM	Agnico Eagle Mines	Metals & Mining	22.16B			
AEMD	Aethlon Medical	Health Care Equipment & Supplies	11.27M			
AENZ	Aenza	Engineering & Construction	203.49M			
AEO	American Eagle Outfitters	Specialty Retail	2.32B			
AEP	American Electric Power Company	Electric Utilities	46.24B			
AER	AerCap Holdings	Trading Companies & Distributors	14.50B			
AERC	AeroClean Technologies	Pollution & Treatment Controls	47.31M			
