	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
UAL	40.584999084472656	40.655059814453125	40.83769989013672	41.04533767700195	41.181190490722656	41.35942840576172	41.53705596923828	41.722938537597656	41.92683792114258	42.152000427246094	42.368370056152344	42.58544921875	42.801902770996094	43.016780853271484	43.23274612426758	43.44903564453125	43.66606521606445	43.88429641723633	44.10371017456055	44.3240852355957	44.54545974731445	44.767784118652344	44.99102783203125	45.21521759033203	45.44035720825195	45.66646194458008	45.893550872802734	46.12164306640625	46.35074234008789	46.58086395263672	46.81201171875
CSCO	43.1150016784668	43.40974426269531	43.57868194580078	43.667999267578125	43.80792999267578	44.005775451660156	44.307464599609375	44.67927169799805	45.0644645690918	45.41990280151367	45.739498138427734	46.03342056274414	46.32647705078125	46.645530700683594	46.99715805053711	47.37052917480469	47.7641487121582	48.16612243652344	48.57040023803711	48.97808837890625	49.395477294921875	49.829246520996094	50.283775329589844	50.75981140136719	51.25526428222656	51.76732635498047	52.29450607299805	52.837318420410156	53.39754104614258	54.000831604003906	54.643733978271484
TROW	103.75	101.18334197998047	101.561767578125	100.4678955078125	100.47461700439453	99.3896713256836	98.95431518554688	99.10165405273438	98.92321014404297	98.88987731933594	98.37055206298828	98.09597778320312	97.7921142578125	98.27117156982422	97.84983825683594	97.9132308959961	97.5031967163086	97.47366333007812	97.0757827758789	96.89554595947266	96.61241149902344	96.50997161865234	96.36083984375	96.22988891601562	96.05301666259766	95.90601348876953	95.82522583007812	95.6904067993164	95.60016632080078	95.45120239257812	95.35682678222656
ISRG	218.83999633789065	219.59471130371094	220.18589782714844	220.66943359375	221.2604522705078	222.05963134765625	222.93016052246094	223.7865447998047	224.52621459960938	225.12612915039062	225.65907287597656	226.14100646972656	226.51597595214844	226.78482055664062	226.9542694091797	227.0525360107422	227.1022491455078	227.10397338867188	227.06475830078125	226.99078369140625	226.88980102539062	226.76898193359375	226.63412475585938	226.48976135253906	226.3394317626953	226.18577575683594	226.03070068359375	225.8756866455078	225.72171020507812	225.5695037841797	225.41943359375
NVR	4030.429931640625	4008.84130859375	4003.593017578125	3993.72802734375	3986.467529296875	3977.79541015625	3969.936279296875	3961.651611328125	3953.6328125	3945.49658203125	3937.454345703125	3929.3876953125	3921.36376953125	3913.345458984375	3905.3525390625	3897.373779296875	3889.415771484375	3881.474853515625	3873.552734375	3865.648681640625	3857.762939453125	3849.895263671875	3842.04541015625	3834.213623046875	3826.400146484375	3818.6044921875	3810.826904296875	3803.06689453125	3795.32470703125	3787.600341796875	3779.89404296875
MRO	28.5	28.4765567779541	28.451181411743164	28.432641983032227	28.411481857299805	28.391759872436523	28.371994018554688	28.352468490600586	28.333011627197266	28.31368637084961	28.294601440429688	28.27567481994629	28.256912231445312	28.238319396972656	28.219892501831055	28.201627731323242	28.183523178100586	28.165578842163086	28.147794723510742	28.13016700744629	28.112689971923828	28.095367431640625	28.07819938659668	28.061182022094727	28.044315338134766	28.027599334716797	28.011032104492188	27.99460792541504	27.97834014892578	27.96221160888672	27.94622802734375
BA	142.85000610351562	135.12606811523438	132.77874755859375	130.92950439453125	130.22723388671875	128.015869140625	126.1839599609375	124.67261505126953	123.182861328125	121.16036987304688	119.88932800292969	117.80872344970703	115.76469421386719	114.1597671508789	113.43280029296875	111.27214813232422	109.53407287597656	107.99958038330078	106.6600570678711	105.09423065185547	103.6534652709961	102.32588195800781	100.96687316894531	99.73680877685547	98.76361846923828	97.62384033203125	96.29981231689453	95.31966400146484	94.54196166992188	93.6297836303711	92.70092010498047
GILD	68.11000061035156	67.69876861572266	67.67900848388672	67.50659942626953	67.42255401611328	67.64584350585938	67.63506317138672	67.63788604736328	67.62255096435547	67.67127227783203	67.79828643798828	67.92242431640625	68.069580078125	68.18120574951172	68.27427673339844	68.34075164794922	68.4123306274414	68.48783874511719	68.5565414428711	68.62487030029297	68.6958236694336	68.77593231201172	68.8641586303711	68.95490264892578	69.0457534790039	69.1344985961914	69.22103881835938	69.30563354492188	69.38858032226562	69.47032928466797	69.55142974853516
NLSN	27.979999542236328	28.139894485473633	28.283864974975586	28.435197830200195	28.592302322387695	28.751914978027344	28.914403915405273	29.0793399810791	29.24654197692871	29.415578842163086	29.58521842956543	29.753337860107422	29.918153762817383	30.07956886291504	30.239389419555664	30.40040397644043	30.564777374267578	30.73192596435547	30.901899337768555	31.07461166381836	31.249980926513672	31.427888870239258	31.60814666748047	31.79048728942871	31.9746150970459	32.16021728515625	32.3470458984375	32.534889221191406	32.723602294921875	32.913063049316406	33.10318374633789
EQIX	539.6300048828125	537.7283325195312	539.56787109375	541.5634765625	545.923583984375	551.5235595703125	554.315185546875	557.4069213867188	559.643798828125	559.3424072265625	561.3101806640625	563.1010131835938	565.0498657226562	566.9758911132812	568.9701538085938	571.7176513671875	573.6328735351562	576.1024169921875	579.3695068359375	582.2448120117188	585.1221923828125	587.80126953125	590.4164428710938	592.8524169921875	595.0116577148438	597.5791015625	599.9657592773438	602.1409912109375	604.479248046875	606.8526000976562	609.3134155273438
