	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
UAL	40.22999954223633	40.46470642089844	40.675941467285156	41.01558303833008	41.319541931152344	41.65044021606445	41.98175048828125	42.324676513671875	42.673675537109375	43.02289581298828	43.36473083496094	43.71021270751953	44.066505432128906	44.4305419921875	44.80059814453125	45.16523361206055	45.535972595214844	45.91358184814453	46.295833587646484	46.683448791503906	47.07611083984375	47.47389602661133	47.87678527832031	48.28478240966797	48.69797134399414	49.11643981933594	49.54021072387695	49.969215393066406	50.403438568115234	50.842872619628906	51.28759765625
CSCO	42.900001525878906	43.938331604003906	45.03609085083008	46.134212493896484	47.21022033691406	48.36350631713867	49.525943756103516	50.66295623779297	51.7529296875	52.85280990600586	53.89252471923828	54.87024688720703	56.04692077636719	57.35743713378906	58.76804733276367	60.27605056762695	61.86614227294922	63.546024322509766	65.30116271972656	67.09919738769531	68.9067153930664	70.71576690673828	72.48255920410156	74.17823791503906	75.93436431884766	77.76695251464844	79.656005859375	81.61848449707031	83.65885925292969	85.790283203125	88.01751708984375
TROW	102.68000030517578	101.30443572998047	101.65865325927734	102.270751953125	102.4111099243164	102.71218872070312	103.05587005615234	103.33439636230469	103.61830139160156	103.9153823852539	104.2330322265625	104.54946899414062	104.86754608154297	105.19127655029297	105.50634765625	105.81543731689453	106.14466857910156	106.46792602539062	106.7914810180664	107.12113189697266	107.45136260986328	107.78341674804688	108.11849212646484	108.45563507080078	108.7948989868164	109.13638305664062	109.48005676269531	109.82589721679688	110.17393493652344	110.5242691040039	110.8768539428711
ISRG	217.77999877929688	207.5868682861328	213.92599487304688	206.96670532226562	214.591796875	208.2313690185547	215.16729736328125	212.13790893554688	210.6771697998047	213.42225646972656	212.32272338867188	210.85665893554688	208.70858764648438	211.4293212890625	208.53460693359375	209.82518005371094	208.8451690673828	209.06497192382812	207.5867156982422	207.7778778076172	207.5018310546875	207.1673583984375	206.69825744628906	206.4295654296875	206.27786254882812	205.5829315185547	205.50030517578125	205.01898193359375	204.7757110595703	204.3605499267578	204.12054443359375
NVR	4012.975341796875	3974.733642578125	3956.1279296875	3938.481689453125	3932.145751953125	3947.166748046875	3949.417724609375	3951.929931640625	3954.735107421875	3951.093994140625	3936.100341796875	3937.8779296875	3938.66162109375	3937.26513671875	3935.707275390625	3933.967041015625	3926.47509765625	3922.5361328125	3920.29248046875	3919.829345703125	3920.046142578125	3918.54931640625	3916.61865234375	3914.17333984375	3911.119140625	3908.131103515625	3906.530517578125	3904.5380859375	3902.22412109375	3899.80224609375	3897.279052734375
MRO	28.90999984741211	29.58990478515625	30.28644371032715	30.947797775268555	31.587766647338867	32.22523498535156	32.86669158935547	33.5157470703125	34.17330551147461	34.83931350708008	35.513099670410156	36.194801330566406	36.88551712036133	37.585975646972656	38.29521942138672	39.010196685791016	39.727027893066406	40.44150161743164	41.14863586425781	41.84208679199219	42.513648986816406	43.15283966064453	43.746742248535156	44.27947235107422	44.73094177246094	45.07537078857422	45.279808044433594	45.304473876953125	45.10765075683594	44.657752990722656	43.954036712646484
BA	139.281494140625	138.27664184570312	136.9396514892578	135.8746337890625	135.1072540283203	134.5808563232422	134.23147583007812	134.00050354003906	133.82154846191406	133.6333770751953	133.4403076171875	133.27745056152344	133.14572143554688	132.95916748046875	132.6762237548828	132.32818603515625	131.95773315429688	131.59519958496094	131.25575256347656	130.9429931640625	130.65383911132812	130.38241577148438	130.12338256835938	129.87303161621094	129.627685546875	129.38221740722656	129.13168334960938	128.8739471435547	128.6100311279297	128.3428192138672	128.07554626464844
GILD	68.08999633789062	67.51536560058594	67.51463317871094	67.49901580810547	67.50689697265625	67.4946060180664	67.4110107421875	67.38607788085938	67.34038543701172	67.29762268066406	67.27194213867188	67.24425506591797	67.2177963256836	67.19378662109375	67.16751098632812	67.1357421875	67.10791015625	67.07981872558594	67.05145263671875	67.0227279663086	66.99440002441406	66.96669006347656	66.93903350830078	66.9117431640625	66.88479614257812	66.8580322265625	66.83149719238281	66.80517578125	66.77906799316406	66.75318908691406	66.7275161743164
NLSN	27.979999542236328	27.96530532836914	27.953433990478516	27.94451904296875	27.935625076293945	27.929622650146484	27.924713134765625	27.91928482055664	27.91332244873047	27.906709671020508	27.899721145629883	27.89286994934082	27.886436462402344	27.880495071411133	27.874841690063477	27.869075775146484	27.862773895263672	27.856090545654297	27.849212646484375	27.84227752685547	27.835498809814453	27.82889175415039	27.822355270385742	27.815793991088867	27.809123992919922	27.802318572998047	27.795425415039062	27.78850555419922	27.78160285949707	27.774738311767578	27.76787757873535
EQIX	526.3900146484375	526.1683349609375	517.7807006835938	514.3594360351562	537.6600952148438	511.87255859375	536.8855590820312	531.3225708007812	536.5167236328125	539.3782348632812	533.5560913085938	537.6182250976562	536.5794677734375	532.078125	531.5538330078125	531.431396484375	532.6539916992188	546.6498413085938	540.1666259765625	547.4166870117188	551.9905395507812	548.0573120117188	549.2890625	550.0272827148438	548.5616455078125	546.1674194335938	546.0761108398438	544.55078125	562.0091552734375	548.7049560546875	558.7055053710938
V	189.1000061035156	188.15841674804688	188.72369384765625	189.11717224121094	189.6110382080078	189.63246154785156	190.00213623046875	190.32965087890625	190.60775756835938	190.82833862304688	191.206298828125	191.4962615966797	191.83168029785156	191.987548828125	192.0856475830078	192.10400390625	192.2979736328125	192.43138122558594	192.55372619628906	192.66204833984375	192.7670440673828	192.84371948242188	192.90771484375	192.95913696289062	192.99818420410156	193.02230834960938	193.04385375976562	193.06275939941406	193.0843963623047	193.09999084472656	193.10694885253906
QRVO	83.72000122070312	83.9717025756836	84.02252960205078	84.14813232421875	84.31946563720703	84.5258560180664	84.75616455078125	84.98191833496094	85.18177795410156	85.39793395996094	85.64578247070312	85.91997528076172	86.22309875488281	86.55546569824219	86.8989028930664	87.23118591308594	87.54891204833984	87.85581970214844	88.15416717529297	88.44480895996094	88.72817993164062	89.00508880615234	89.2774887084961	89.54826354980469	89.8199691772461	90.09426879882812	90.37188720703125	90.6526870727539	90.93589782714844	91.22047424316406	91.5054931640625
