	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
UAL	40.22999954223633	40.091461181640625	39.743717193603516	38.73690414428711	38.284542083740234	38.46216583251953	38.868865966796875	39.195587158203125	39.10020065307617	38.695152282714844	38.3243408203125	38.16701126098633	38.238311767578125	38.3681640625	38.35763168334961	38.18299102783203	37.92351531982422	37.73524475097656	37.680885314941406	37.70289611816406	37.701419830322266	37.607177734375	37.440879821777344	37.27482604980469	37.16699981689453	37.120391845703125	37.08818817138672	37.02214050292969	36.91028594970703	36.778541564941406	36.66419219970703
ISRG	217.77999877929688	210.2185516357422	210.7561492919922	212.1703643798828	210.8732452392578	210.9585418701172	210.69647216796875	210.41184997558594	210.19509887695312	209.94435119628906	209.70252990722656	209.46173095703125	209.21934509277344	208.97813415527344	208.73704528808594	208.49620056152344	208.2558135986328	208.0154571533203	207.7755889892578	207.53590393066406	207.29652404785156	207.05743408203125	206.81858825683594	206.58006286621094	206.34181213378906	206.1038360595703	205.8661346435547	205.6287384033203	205.39157104492188	205.1547088623047	204.91812133789062
CSCO	42.900001525878906	42.62410354614258	42.52007293701172	42.61564254760742	42.60683822631836	42.656105041503906	42.68701934814453	42.720123291015625	42.75626754760742	42.792076110839844	42.82697296142578	42.862552642822266	42.89704895019531	42.93263244628906	42.968021392822266	43.003700256347656	43.039329528808594	43.074729919433594	43.11028289794922	43.145790100097656	43.18130874633789	43.21684265136719	43.25238037109375	43.28792190551758	43.32347106933594	43.35902786254883	43.39459228515625	43.4301643371582	43.46574401855469	43.50132751464844	43.53691864013672
TROW	102.68000030517578	99.92164611816406	97.54019165039062	98.64814758300781	98.37966918945312	97.76524353027344	97.9144287109375	97.65742492675781	96.97105407714844	96.56391906738281	96.31324768066406	96.00340270996094	95.70710754394531	95.39193725585938	95.03742218017578	94.68193817138672	94.34335327148438	94.02499389648438	93.71243286132812	93.38896179199219	93.06333923339844	92.73959350585938	92.4148941040039	92.09370422363281	91.77710723876953	91.46106719970703	91.14460754394531	90.82892608642578	90.51432800292969	90.20094299316406	89.88922119140625
NVR	4012.975341796875	3994.46533203125	3989.0	3984.99462890625	3971.4462890625	3959.515625	3948.403564453125	3937.141357421875	3925.81201171875	3914.544189453125	3903.50537109375	3892.313232421875	3881.165771484375	3870.109375	3859.050537109375	3848.021484375	3837.044677734375	3826.093017578125	3815.1708984375	3804.28369140625	3793.427734375	3782.6025390625	3771.808837890625	3761.046875	3750.316162109375	3739.61669921875	3728.94873046875	3718.3115234375	3707.705322265625	3697.1298828125	3686.58544921875
NLSN	27.979999542236328	28.15395736694336	28.2678279876709	28.37074089050293	28.489818572998047	28.600528717041016	28.7128963470459	28.822038650512695	28.930662155151367	29.037647247314453	29.14366340637207	29.248441696166992	29.352149963378906	29.454729080200195	29.55622673034668	29.656641006469727	29.7559871673584	29.854320526123047	29.95159149169922	30.047849655151367	30.14309310913086	30.237335205078125	30.330583572387695	30.4228515625	30.51414680480957	30.60447883605957	30.69386100769043	30.782302856445312	30.869813919067383	30.956403732299805	31.042081832885742
MRO	28.90999984741211	28.725093841552734	28.855260848999023	28.980297088623047	28.948726654052734	29.102781295776367	29.096111297607422	29.179664611816406	29.246118545532227	29.274269104003906	29.36089324951172	29.3924560546875	29.46141242980957	29.51535987854004	29.56387710571289	29.62957000732422	29.675945281982422	29.736936569213867	29.791053771972656	29.844947814941406	29.903770446777344	29.956268310546875	30.01416778564453	30.069110870361328	30.124656677246094	30.181480407714844	30.23636245727539	30.293174743652344	30.348834991455078	30.404943466186523	30.461368560791016
GILD	68.08999633789062	68.06682586669922	69.04344940185547	69.34420013427734	70.11160278320312	70.66749572753906	71.29360961914062	71.93042755126953	72.55647277832031	73.19623565673828	73.84333801269531	74.48426055908203	75.14302062988281	75.79883575439453	76.4657211303711	77.13716888427734	77.81304168701172	78.49695587158203	79.18453979492188	79.87980651855469	80.58006286621094	81.28684997558594	81.9996566772461	82.71858215332031	83.4438247680664	84.17528533935547	84.9130859375	85.65728759765625	86.40792846679688	87.16507720947266	87.92877960205078
QRVO	83.72000122070312	82.76173400878906	83.22220611572266	83.36286163330078	83.53236389160156	83.6810302734375	83.8414306640625	83.99344635009766	84.14958953857422	84.30207824707031	84.45571899414062	84.60762786865234	84.75951385498047	84.91033172607422	85.0606918334961	85.21038055419922	85.35938262939453	85.50775146484375	85.65547180175781	85.80255126953125	85.94898223876953	86.09478759765625	86.23995208740234	86.38447570800781	86.52838134765625	86.67164611816406	86.81430053710938	86.9563217163086	87.09773254394531	87.238525390625	87.37870788574219
EQIX	526.3900146484375	517.3147583007812	516.966796875	516.3551025390625	515.0203857421875	513.7412109375	512.2589111328125	510.8327331542969	509.3692932128906	507.9739685058594	506.5615234375	505.1817932128906	503.78228759765625	502.37890625	500.9917907714844	499.6148376464844	498.2372131347656	496.86767578125	495.5020446777344	494.1408996582031	492.78515625	491.4342956542969	490.08837890625	488.7472229003906	487.41070556640625	486.0789489746094	484.7520751953125	483.4298095703125	482.1122741699219	480.7994689941406	479.4913635253906
