	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
UAL	40.584999084472656	40.030635833740234	39.973140716552734	39.99028396606445	39.962589263916016	39.93724822998047	39.905670166015625	39.86922073364258	39.84383773803711	39.811729431152344	39.812828063964844	39.7957649230957	39.7921028137207	39.79182815551758	39.78847885131836	39.79652786254883	39.80049514770508	39.8045768737793	39.80921936035156	39.81354904174805	39.81761932373047	39.82143020629883	39.824954986572266	39.82827377319336	39.83124923706055	39.83422088623047	39.836944580078125	39.83964538574219	39.84232711791992	39.84495544433594	39.847625732421875
ISRG	218.83999633789065	214.55267333984375	216.5482940673828	216.1447296142578	217.9838409423828	217.82774353027344	218.97677612304688	219.28773498535156	220.1635284423828	220.664306640625	221.41810607910156	222.00559997558594	222.70713806152344	223.33609008789062	224.01646423339844	224.6659393310547	225.33885192871094	225.9994354248047	226.6714324951172	227.33909606933594	228.01280212402344	228.6857452392578	229.36239624023438	230.0398406982422	230.7200164794922	231.401611328125	232.08555603027344	232.7711944580078	233.45899963378906	234.14865112304688	234.8403778076172
CSCO	43.1150016784668	43.161197662353516	43.224525451660156	43.2004508972168	43.185855865478516	43.1934700012207	43.20621871948242	43.23663330078125	43.2672233581543	43.302215576171875	43.334938049316406	43.36902618408203	43.4009895324707	43.433345794677734	43.466190338134766	43.49791717529297	43.52971267700195	43.561363220214844	43.59312057495117	43.62493133544922	43.656803131103516	43.688716888427734	43.72064971923828	43.75259780883789	43.78455352783203	43.81652069091797	43.8484992980957	43.8804931640625	43.912498474121094	43.944515228271484	43.97654724121094
TROW	103.75	104.15684509277344	104.45367431640625	104.76011657714844	105.072998046875	105.38844299316406	105.70140838623047	106.02096557617188	106.33847045898438	106.65364074707031	106.96587371826172	107.27903747558594	107.59466552734375	107.9189453125	108.24844360351562	108.58061218261719	108.913818359375	109.2480239868164	109.58328247070312	109.91957092285156	110.25694274902344	110.59539794921875	110.9349594116211	111.27564239501953	111.617431640625	111.96034240722656	112.30441284179688	112.64967346191406	112.99610900878906	113.34376525878906	113.69264221191406
NVR	4030.429931640625	4057.630615234375	4080.678955078125	4096.98828125	4103.974609375	4113.02001953125	4122.9794921875	4134.63134765625	4141.52490234375	4150.43994140625	4166.0966796875	4173.64453125	4183.892578125	4193.38330078125	4203.15283203125	4213.146484375	4222.10009765625	4232.83544921875	4242.90625	4253.4990234375	4263.7900390625	4273.9931640625	4284.5166015625	4294.83056640625	4305.05615234375	4315.4775390625	4325.91357421875	4336.35595703125	4346.83203125	4357.2841796875	4367.85009765625
NLSN	27.979999542236328	28.260482788085938	28.393125534057617	28.561504364013672	28.754337310791016	28.918460845947266	29.098129272460938	29.277179718017578	29.452404022216797	29.63250160217285	29.811464309692383	29.991039276123047	30.17202377319336	30.35310935974121	30.53508758544922	30.71779441833496	30.901081085205078	31.08513641357422	31.26986312866211	31.45527458190918	31.641407012939453	31.828231811523438	32.01576614379883	32.20400619506836	32.39295959472656	32.58262634277344	32.773006439208984	32.96410369873047	33.15592956542969	33.348472595214844	33.541744232177734
MRO	28.5	28.482271194458008	28.4613094329834	28.341447830200195	28.23621940612793	28.17608070373535	28.051212310791016	27.92542266845703	27.89044189453125	27.807790756225586	27.685291290283203	27.605979919433594	27.501903533935547	27.410842895507812	27.32962417602539	27.2320556640625	27.135967254638672	27.052576065063477	26.963417053222656	26.8709716796875	26.78791618347168	26.704471588134766	26.617469787597656	26.53571891784668	26.453140258789062	26.37053871154785	26.29238510131836	26.21309471130371	26.133865356445312	26.057525634765625	25.98165512084961
GILD	68.11000061035156	66.69942474365234	66.58539581298828	66.45963287353516	66.18804168701172	65.86418914794922	65.55770111083984	65.2728271484375	64.99860382080078	64.721435546875	64.44640350341797	64.17513275146484	63.90749740600586	63.6403694152832	63.37360763549805	63.1082649230957	62.84402084350586	62.5807991027832	62.31856918334961	62.057403564453125	61.79732894897461	61.53835678100586	61.28044891357422	61.023624420166016	60.767879486083984	60.5131950378418	60.259586334228516	60.00703430175781	59.75553512573242	59.50506591796875	59.2556266784668
QRVO	83.81999969482422	82.33857727050781	82.91188049316406	82.78193664550781	82.55802917480469	83.29930114746094	82.8367919921875	83.29754638671875	83.30914306640625	83.230224609375	83.61447143554688	83.413330078125	83.6998291015625	83.77880859375	83.73435974121094	84.07382202148438	83.93058776855469	84.15876770019531	84.24163818359375	84.2343521118164	84.49104309082031	84.436767578125	84.61961364746094	84.71389770507812	84.73924255371094	84.94122314453125	84.94132232666016	85.09119415283203	85.19133758544922	85.2383041381836	85.40704345703125
EQIX	539.6300048828125	528.2357177734375	524.8157958984375	522.0353393554688	520.4178466796875	518.45654296875	516.4406127929688	514.1185302734375	512.1929931640625	510.5025329589844	508.6999206542969	506.9043884277344	505.1367492675781	503.40765380859375	501.6963195800781	500.0146179199219	498.2242431640625	496.4559020996094	494.69696044921875	492.9508972167969	491.2061462402344	489.46600341796875	487.7307434082031	486.0063171386719	484.2909240722656	482.5821838378906	480.8800964355469	479.1849670410156	477.4964294433594	475.81439208984375	474.1383972167969
